id	popularity	frequency_short	units_short	seasonal_adjustment_short	name	title
111372	1	M		NSA	FORLTCORPNET19992	Foreign Net Transactions of U.S. Long-Term Corporate Bonds: Total Europe
111453	0	M		NSA	FORLTCORPNET72907	Foreign Net Transactions of U.S. Long-Term Corporate Bonds: Total International Orgs.
111455	0	M		NSA	FORLTCORPNET79995	Foreign Net Transactions of U.S. Long-Term Corporate Bonds: Total IROs
111410	0	M		NSA	FORLTCORPNET39942	Foreign Net Transactions of U.S. Long-Term Corporate Bonds: Total Latin America
111411	0	M		NSA	FORLTCORPNET39993	Foreign Net Transactions of U.S. Long-Term Corporate Bonds: Total Latin America and Caribbean
111454	0	M		NSA	FORLTCORPNET76929	Foreign Net Transactions of U.S. Long-Term Corporate Bonds: Total Regional Orgs.
112768	0	M		NSA	FORLTTREASNET59994	Foreign Net Transactions of U.S. Long-Term Treasury Securities: Total Africa
112755	1	M		NSA	FORLTTREASNET49999	Foreign Net Transactions of U.S. Long-Term Treasury Securities: Total Asia
112711	0	M		NSA	FORLTTREASNET34401	Foreign Net Transactions of U.S. Long-Term Treasury Securities: Total Caribbean
112689	0	M		NSA	FORLTTREASNET19992	Foreign Net Transactions of U.S. Long-Term Treasury Securities: Total Europe
112775	0	M		NSA	FORLTTREASNET72907	Foreign Net Transactions of U.S. Long-Term Treasury Securities: Total International Orgs.
112777	0	M		NSA	FORLTTREASNET79995	Foreign Net Transactions of U.S. Long-Term Treasury Securities: Total IROs
112727	1	M		NSA	FORLTTREASNET39942	Foreign Net Transactions of U.S. Long-Term Treasury Securities: Total Latin America
112728	0	M		NSA	FORLTTREASNET39993	Foreign Net Transactions of U.S. Long-Term Treasury Securities: Total Latin America and Caribbean
112776	0	M		NSA	FORLTTREASNET76929	Foreign Net Transactions of U.S. Long-Term Treasury Securities: Total Regional Orgs.
113139	0	M		NSA	FORSTTREASNET59994	Foreign Net Transactions of U.S. Short-Term Treasury Securities: Total Africa
113132	1	M		NSA	FORSTTREASNET49999	Foreign Net Transactions of U.S. Short-Term Treasury Securities: Total Asia
113104	0	M		NSA	FORSTTREASNET34401	Foreign Net Transactions of U.S. Short-Term Treasury Securities: Total Caribbean
113085	0	M		NSA	FORSTTREASNET19992	Foreign Net Transactions of U.S. Short-Term Treasury Securities: Total Europe
113144	1	M		NSA	FORSTTREASNET72907	Foreign Net Transactions of U.S. Short-Term Treasury Securities: Total International Orgs.
113146	0	M		NSA	FORSTTREASNET79995	Foreign Net Transactions of U.S. Short-Term Treasury Securities: Total IROs
113112	1	M		NSA	FORSTTREASNET39942	Foreign Net Transactions of U.S. Short-Term Treasury Securities: Total Latin America
113145	0	M		NSA	FORSTTREASNET76929	Foreign Net Transactions of U.S. Short-Term Treasury Securities: Total Regional Orgs.
86462	1	M		NSA	DTBSPCKNFNM	Foreign Nonfinancial Commercial Paper Outstanding
86540	1	M		NSA	H1DTBSPCKINFNM	Foreign Nonfinancial Commercial Paper Outstanding (DISCONTINUED)
112425	1	M		NSA	FORLTTOTALPOS39001	Foreign Portfolio Holdings of All U.S. Long-Term Securities: Caribbean Banking Centers
112388	0	M		NSA	FORLTTOTALPOS16721	Foreign Portfolio Holdings of All U.S. Long-Term Securities: European Union
112470	0	M		NSA	FORLTTOTALPOS59994	Foreign Portfolio Holdings of All U.S. Long-Term Securities: Total Africa
112456	0	M		NSA	FORLTTOTALPOS49999	Foreign Portfolio Holdings of All U.S. Long-Term Securities: Total Asia
112412	0	M		NSA	FORLTTOTALPOS34401	Foreign Portfolio Holdings of All U.S. Long-Term Securities: Total Caribbean
112390	0	M		NSA	FORLTTOTALPOS19992	Foreign Portfolio Holdings of All U.S. Long-Term Securities: Total Europe
112477	4	M		NSA	FORLTTOTALPOS72907	Foreign Portfolio Holdings of All U.S. Long-Term Securities: Total International Orgs.
112479	0	M		NSA	FORLTTOTALPOS79995	Foreign Portfolio Holdings of All U.S. Long-Term Securities: Total IROs
112428	0	M		NSA	FORLTTOTALPOS39942	Foreign Portfolio Holdings of All U.S. Long-Term Securities: Total Latin America
112429	0	M		NSA	FORLTTOTALPOS39993	Foreign Portfolio Holdings of All U.S. Long-Term Securities: Total Latin America and Caribbean
112478	1	M		NSA	FORLTTOTALPOS76929	Foreign Portfolio Holdings of All U.S. Long-Term Securities: Total Regional Orgs.
112028	1	M		NSA	FORLTEQTYPOS59994	Foreign Portfolio Holdings of U.S. Equity Securities: Total Africa
112017	1	M		NSA	FORLTEQTYPOS49999	Foreign Portfolio Holdings of U.S. Equity Securities: Total Asia
111976	0	M		NSA	FORLTEQTYPOS34401	Foreign Portfolio Holdings of U.S. Equity Securities: Total Caribbean
111954	1	M		NSA	FORLTEQTYPOS19992	Foreign Portfolio Holdings of U.S. Equity Securities: Total Europe
112035	0	M		NSA	FORLTEQTYPOS72907	Foreign Portfolio Holdings of U.S. Equity Securities: Total International Orgs.
112037	0	M		NSA	FORLTEQTYPOS79995	Foreign Portfolio Holdings of U.S. Equity Securities: Total IROs
111992	1	M		NSA	FORLTEQTYPOS39942	Foreign Portfolio Holdings of U.S. Equity Securities: Total Latin America
111993	1	M		NSA	FORLTEQTYPOS39993	Foreign Portfolio Holdings of U.S. Equity Securities: Total Latin America and Caribbean
112036	0	M		NSA	FORLTEQTYPOS76929	Foreign Portfolio Holdings of U.S. Equity Securities: Total Regional Orgs.
111177	1	M		NSA	FORLTAGCYPOS59994	Foreign Portfolio Holdings of U.S. Long-Term Agency Bonds: Total Africa
111166	1	M		NSA	FORLTAGCYPOS49999	Foreign Portfolio Holdings of U.S. Long-Term Agency Bonds: Total Asia
111125	0	M		NSA	FORLTAGCYPOS34401	Foreign Portfolio Holdings of U.S. Long-Term Agency Bonds: Total Caribbean
111103	1	M		NSA	FORLTAGCYPOS19992	Foreign Portfolio Holdings of U.S. Long-Term Agency Bonds: Total Europe
111184	0	M		NSA	FORLTAGCYPOS72907	Foreign Portfolio Holdings of U.S. Long-Term Agency Bonds: Total International Orgs.
111186	0	M		NSA	FORLTAGCYPOS79995	Foreign Portfolio Holdings of U.S. Long-Term Agency Bonds: Total IROs
111141	1	M		NSA	FORLTAGCYPOS39942	Foreign Portfolio Holdings of U.S. Long-Term Agency Bonds: Total Latin America
111142	1	M		NSA	FORLTAGCYPOS39993	Foreign Portfolio Holdings of U.S. Long-Term Agency Bonds: Total Latin America and Caribbean
111185	0	M		NSA	FORLTAGCYPOS76929	Foreign Portfolio Holdings of U.S. Long-Term Agency Bonds: Total Regional Orgs.
113425	0	M		NSA	FORTREASPOS59994	Foreign Portfolio Holdings of U.S. Long-Term and Short-Term Treasury Securities: Total Africa
113418	1	M		NSA	FORTREASPOS49999	Foreign Portfolio Holdings of U.S. Long-Term and Short-Term Treasury Securities: Total Asia
113390	0	M		NSA	FORTREASPOS34401	Foreign Portfolio Holdings of U.S. Long-Term and Short-Term Treasury Securities: Total Caribbean
